Ventas;;;2020;2021;2022;2023;2024;2025;;;;;;;;;
;Part number;Catalog Type;;;;;;January;February;March;April;May;June;July;August;September;October
;AB016401;INV;1232;1609;1734;1622;1807;85;86;80;253;131;143;94;155;223;6
;AB016501;INV;2;;;1;2;;;;;;;;;;
;AB026401;INV;127;137;91;98;71;1;5;4;10;2;4;5;4;;
;AB030701;INV;68;152;103;105;59;3;2;;1;5;21;3;4;;
;AB030701;PKG;767;1155;790;295;272;12;7;15;7;39;46;20;10;25;
;AB035001;INV;;;;6;;;;;;;;;;;
;AB036401;INV;474;698;685;517;444;11;19;30;56;12;71;12;11;63;12
;AB040501;INV;38;1;;5;;;;;;;;;;;
;AB040501;PKG;365;27;;;;;;;;;;;;;
;AB040701;INV;67;5;-1;17;;;;;;;;;;;
;AB040701;PKG;979;108;;;;;;;;;;;;;
;AB070501;INV;95;3;2;5;2;;;;;;;;;;
;AB070501;PKG;622;17;;;;;;;;;;;;;
;AB0705BW01;PKG;180;;;;;;;;;;;;;;
;AB070701;INV;217;32;;16;2;;;;;;;;;;
;AB070701;PKG;1417;88;;;;;;;;;;;;;
;AB0828101;INV;27;36;65;43;27;2;3;;;3;;2;;;
;AB0828501;INV;44;78;120;63;85;2;3;2;6;;16;6;3;9;2
;AB0834901;INV;4;15;19;9;1;;;;1;;;4;1;;
;AB0834901;PKG;;1;19;33;41;3;8;2;4;13;21;8;;7;
;AB0836501;INV;9;43;22;27;23;;1;;2;;3;2;3;;
;AB0836501;PKG;;1;43;36;80;5;4;9;6;3;3;;5;7;
;AB0839501;INV;1;;;;;;;;;;;;;;
;AB0841401;INV;36;77;52;41;20;1;1;1;2;2;1;3;4;1;
;AB0841701;INV;;1;;;;;;;;;;;;;
;AB0842701;INV;14;18;11;12;16;;;;;;2;;;2;
;AB0843001;INV;6;10;15;6;7;;;;;;;2;;;
;AB099201;INV;3;32;13;7;15;2;2;-5;;;;1;;1;
;AB099201;PKG;181;6756;5842;4452;4708;153;215;162;342;426;498;156;154;368;35
;AB0992SP01;INV;311;400;560;472;403;25;33;22;68;47;55;22;21;27;4
;AB0992SP01;PKG;;;15;;;;;;;;;;;;
;AB100101;INV;1793;4184;3047;1918;186;;;;;;;;;;
;AB1001BE01;INV;400;800;705;305;6;;;;;;;;;;
;AB1001M01;INV;;;;;1510;55;52;53;327;118;95;67;18;269;22
;AB100201;INV;2120;4143;3421;1412;220;;;;;;;;;;
;AB1002M01;INV;;;;500;1114;59;130;117;40;219;116;46;110;149;39
;AB100601;INV;;;;2;;;;;;;;;;;
;AB101101;INV;231;298;320;210;1;;;;;;;;;;
;AB101201;INV;145;295;291;223;;;;;;;;;;;
;AB101501;INV;;14;9;16;;;;;;;;;;;
;AB1015FW01;INV;;;;4;;;;;;;;;;;
;AB1018A01;INV;494;856;801;715;70;;;;;;;;;;
;AB1018AM01;INV;;;;;423;46;37;18;42;18;69;28;40;72;6
;AB1018C01;INV;317;760;854;616;109;;;;;;;;;;
;AB1018CM01;INV;;;;;510;34;61;16;55;40;55;20;18;46;18
;AB1019A01;INV;228;536;343;182;49;;;;1;;;;;;
;AB1019AM01;INV;;;;;156;40;9;32;8;21;21;15;8;11;
;AB1019C01;INV;334;468;373;395;28;;;;;;;;;;
;AB1019CM01;INV;;;;;283;14;11;14;10;28;39;49;19;12;10
;AB102001;INV;-1;;;;;;;;;;;;;;
;AB102001;PKG;342;278;78;173;1;;;;;;;;;;
;AB1030-24601;INV;52;128;106;48;48;3;4;1;2;;3;5;3;8;
;AB106301;INV;46;23;32;30;16;1;;1;3;;;2;5;2;
;AB106401;INV;1064;1479;1500;1356;1225;19;32;56;167;51;148;12;19;59;15
;AB107501;INV;57;49;102;33;33;;;3;;;14;5;4;2;
;AB107501;PKG;;;209;11;;;;;;;;;;;
;AB109101;INV;86;67;61;84;40;;7;;;1;2;1;9;4;2
;AB116401;INV;3;22;26;12;27;5;1;1;2;1;5;7;2;;
;AB120501;INV;79;100;16;;;;;;;;;;;;
;AB120501;PKG;122;119;30;;;;;;;;;;;;
;AB130-506101;INV;14;10;2;;;;;;;;;;;;
;AB14360001;INV;;;;31;82;;5;;;;;;;;
;AB14370001;INV;;;;13;21;;;;;;;;;;
;AB14380001;INV;;;;;13;3;;;;;2;;;;
;AB14410001;INV;;;;28;151;;;;;;;;;;
;AB14460001;INV;;;;;1;;;;;;;;;;
;AB146401;INV;92;131;116;99;146;1;;12;31;1;26;3;2;11;1
;AB15020001;INV;;;;23;157;;;;18;15;;15;;;
;AB150501;INV;55;96;32;;;;;;1;;;;;;
;AB150501;PKG;186;168;42;;;;;;;;;;;;
;AB15060001;INV;;;;;12;;;5;5;;;;;;
;AB15080001;INV;;;;;;;;;;10;32;18;;-50;
;AB15090001;INV;;;;;19;1;1;9;;;;;;;
;AB15110001;INV;;;;21;472;31;89;16;;;78;;;;
;AB15120001;INV;;;;18;164;;;11;5;15;19;17;13;;
;AB15660001;INV;;;;25;66;;;;5;23;6;24;;;
;AB15670001;INV;;;;35;113;;22;10;8;6;;25;15;;
;AB15740001;INV;;;;;19;;;;;3;;;;;
;AB16700001;INV;;;;6;5;;;;;;;;;;
;AB16710001;INV;;;;;1;;;;;;;;;;
;AB16960001;INV;;;;3;4;;;;;;;;;;
;AB17540001;INV;;;;100;406;;;;;;30;;70;;
;AB17550001;INV;;;;109;186;;48;10;27;25;15;;30;6;
;AB17590001;INV;;;;10;19;;;;;;;;;;
;AB17650001;INV;;;;;7;;1;4;;;;;;;
;AB17920001;INV;;;;;;;;3;7;4;;;;;
;AB17930001;INV;;;;;4;1;;8;;;;;;;
;AB17990001;INV;;;;;1;;;;;;;;;;
;AB18030001;INV;;;;;8;;;;;;;;;;
