tenant_id,part_number,catalog_type,metric_type,year,month,quantity,source_sheet
videndum,AB016401,INV,revenue,2020,,1232,Revenue
videndum,AB016401,INV,revenue,2021,,1609,Revenue
videndum,AB016401,INV,revenue,2022,,1734,Revenue
videndum,AB016401,INV,revenue,2023,,1622,Revenue
videndum,AB016401,INV,revenue,2024,,1807,Revenue
videndum,AB016401,INV,revenue,2025,1,85,Revenue
videndum,AB016401,INV,revenue,2025,2,86,Revenue
videndum,AB016401,INV,revenue,2025,3,80,Revenue
videndum,AB016401,INV,revenue,2025,4,253,Revenue
videndum,AB016401,INV,revenue,2025,5,131,Revenue
videndum,AB016401,INV,revenue,2025,6,143,Revenue
videndum,AB016401,INV,revenue,2025,7,94,Revenue
videndum,AB016401,INV,revenue,2025,8,155,Revenue
videndum,AB016401,INV,revenue,2025,9,223,Revenue
videndum,AB016401,INV,revenue,2025,10,6,Revenue
videndum,AB016501,INV,revenue,2020,,2,Revenue
videndum,AB016501,INV,revenue,2023,,1,Revenue
videndum,AB016501,INV,revenue,2024,,2,Revenue
videndum,AB026401,INV,revenue,2020,,127,Revenue
videndum,AB026401,INV,revenue,2021,,137,Revenue
videndum,AB026401,INV,revenue,2022,,91,Revenue
videndum,AB026401,INV,revenue,2023,,98,Revenue
videndum,AB026401,INV,revenue,2024,,71,Revenue
videndum,AB026401,INV,revenue,2025,1,1,Revenue
videndum,AB026401,INV,revenue,2025,2,5,Revenue
videndum,AB026401,INV,revenue,2025,3,4,Revenue
videndum,AB026401,INV,revenue,2025,4,10,Revenue
videndum,AB026401,INV,revenue,2025,5,2,Revenue
videndum,AB026401,INV,revenue,2025,6,4,Revenue
videndum,AB026401,INV,revenue,2025,7,5,Revenue
videndum,AB026401,INV,revenue,2025,8,4,Revenue
videndum,AB030701,INV,revenue,2020,,68,Revenue
videndum,AB030701,INV,revenue,2021,,152,Revenue
videndum,AB030701,INV,revenue,2022,,103,Revenue
videndum,AB030701,INV,revenue,2023,,105,Revenue
videndum,AB030701,INV,revenue,2024,,59,Revenue
videndum,AB030701,INV,revenue,2025,1,3,Revenue
videndum,AB030701,INV,revenue,2025,2,2,Revenue
videndum,AB030701,INV,revenue,2025,4,1,Revenue
videndum,AB030701,INV,revenue,2025,5,5,Revenue
